Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Pony_Spell_SecondChance_Name_Key,Text,,,,,Second Chance,Second Chance,Second Chance,Second Chance,Second Chance,Second Chance
Pony_Spell_SecondChance_Description_Key,Text,,,,,"Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>.","Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>.","Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>.","Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>.","Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>.","Return a defeated unit to your hand and apply +5[attack], [health], and <b>Social</b>."
Pony_Spell_SecondChance_Lore_Key,Text,,,,,"I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened.","I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened.","I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened.","I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened.","I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened.","I'll say one thing for these little ponies. They never give up. Not on themselves, and not on others, either. If only the forces of Heaven were half as forgiving. Then the war may never have happened."
Pony_Spell_TheElementsOfHarmony_Name_Key,Text,,,,,The Elements of Harmony,The Elements of Harmony,The Elements of Harmony,The Elements of Harmony,The Elements of Harmony,The Elements of Harmony
Pony_Spell_TheElementsOfHarmony_Description_Key,Text,,,,,Apply <b>Social</b> to all unplayed units in your deck.,Apply <b>Social</b> to all unplayed units in your deck.,Apply <b>Social</b> to all unplayed units in your deck.,Apply <b>Social</b> to all unplayed units in your deck.,Apply <b>Social</b> to all unplayed units in your deck.,Apply <b>Social</b> to all unplayed units in your deck.
Pony_Spell_TheElementsOfHarmony_Lore_Key,Text,,,,,"Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things.","Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things.","Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things.","Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things.","Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things.","Equestrian lore speaks of six shining gems that each embody one aspect of friendship. They are the elements of honesty, kindness, laughter, generosity, loyalty, and magic. It's unclear what happened to them, but if a group of ponies who represent these virtues work together, they can accomplish amazing things."
Pony_Spell_Tom_Name_Key,Text,,,,,Tom,Tom,Tom,Tom,Tom,Tom
Pony_Spell_Tom_Description_Key,Text,,,,,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.,Deal {[effect1.power]} damage to all enemy units and apply <nobr><b>Dazed {[effect2.status0.power]}</b></nobr>.<br><br>Add a <b>Deadweight</b> to the top of your draw pile.
Pony_Spell_Tom_Lore_Key,Text,,,,,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.,A trickster god once brainwashed a pony into believing that an ordinary boulder was instead a massive diamond. He failed to understand that true friendship ran deeper than superficial greed. All it took was a moment of introspection to break the spell and return harmony to the land.
Pony_Spell_Alicornification_Name_Key,Text,,,,,Alicornification,Alicornification,Alicornification,Alicornification,Alicornification,Alicornification
Pony_Spell_Alicornification_Description_Key,Text,,,,,"Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health].","Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health].","Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health].","Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health].","Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health].","Apply <b>Quick</b> and <b>Trample</b> to a target friendly unit, heal to full and double current [attack] and [health]."
Pony_Spell_Alicornification_Lore_Key,Text,,,,,"Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history.","Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history.","Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history.","Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history.","Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history.","Ponies naturally hail from one of three tribes: the flying pegasai, the magical unicorns, or the industrious earth ponies. Alicorns combine the strengths of all three and are immensely powerful. Only a few have ever existed in all of Equestrian history."
,,,,,,,,,,,
,,,,,,,,,,,
Arcadian_Spell_EquestrianAnalog_Name_Key,Text,,,,,"Equestrian Analog","Equestrian Analog","Equestrian Analog","Equestrian Analog","Equestrian Analog","Equestrian Analog"
Arcadian_Spell_EquestrianAnalogBase_Description_Key,Text,,,,,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> and <nobr><b>Regen {[effect1.status0.power]}</b></nobr> to a target unit.
Arcadian_Spell_EquestrianAnalogExile_Description_Key,Text,,,,,"Add a Vampire Fruit Bat to your hand.","Add a Vampire Fruit Bat to your hand.","Add a Vampire Fruit Bat to your hand.","Add a Vampire Fruit Bat to your hand.","Add a Vampire Fruit Bat to your hand.","Add a Vampire Fruit Bat to your hand."
Arcadian_Spell_EquestrianAnalog_Lore_Key,Text,,,,,"Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete.","Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete.","Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete.","Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete.","Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete.","Glaukopis' feathers make for excellent quills, as they're stiff, durable, and are the perfect size to be held by hooves or magic. Our owl friend had best find a way to keep the ponies at bay, lest they pluck him clean before our journey is complete."
,,,,,,,,,,,
,,,,,,,,,,,
Pony_Unit_BackgroundPony_Name_Key,Text,,,,,Background Pony,Background Pony,Background Pony,Background Pony,Background Pony,Background Pony
Pony_Unit_BackgroundPony_Description_Key,Text,,,,,Move to the back.,Move to the back.,Move to the back.,Move to the back.,Move to the back.,Move to the back.
Pony_Unit_BackgroundPony_Essence_Key,Text,,,,,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.,+<nobr>15[health]</nobr> and <b>Summon</b>: Add three Background Ponies to your hand.
Pony_Unit_BackgroundPony_Essence_Summon_Key,Text,,,,,"Add three Background Ponies to your hand.","Add three Background Ponies to your hand.","Add three Background Ponies to your hand.","Add three Background Ponies to your hand.","Add three Background Ponies to your hand.","Add three Background Ponies to your hand."
Pony_Unit_BackgroundPony_Lore_Key,Text,,,,,"For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them.","For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them.","For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them.","For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them.","For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them.","For each pony I got to know, there were ten more lurking in the background. They've all been such lively and unique individuals that I wish I'd had the time to meet more of them."
Pony_Unit_BackgroundPony_Chatter_Added_1_Key,Text,,,,,"Eep!","Eep!","Eep!","Eep!","Eep!","Eep!"
Pony_Unit_BackgroundPony_Chatter_Attacking_1_Key,Text,,,,,"Please just go away.","Please just go away.","Please just go away.","Please just go away.","Please just go away.","Please just go away."
Pony_Unit_BackgroundPony_Chatter_Slayed_1_Key,Text,,,,,"Why me?","Why me?","Why me?","Why me?","Why me?","Why me?"
Pony_Unit_BackgroundPony_Chatter_Idle_1_Key,Text,,,,,"What am I doing here?","What am I doing here?","What am I doing here?","What am I doing here?","What am I doing here?","What am I doing here?"
Pony_Unit_BackgroundPony_Chatter_Idle_2_Key,Text,,,,,"I'm a nopony. I shouldn't be here.","I'm a nopony. I shouldn't be here.","I'm a nopony. I shouldn't be here.","I'm a nopony. I shouldn't be here.","I'm a nopony. I shouldn't be here.","I'm a nopony. I shouldn't be here."
Pony_Unit_BackgroundPony_Chatter_Idle_3_Key,Text,,,,,"Does anypony know where the bathroom is?","Does anypony know where the bathroom is?","Does anypony know where the bathroom is?","Does anypony know where the bathroom is?","Does anypony know where the bathroom is?","Does anypony know where the bathroom is?"
Pony_Unit_BackgroundPony_Chatter_Idle_4_Key,Text,,,,,"Please stop the train. I want to get off.","Please stop the train. I want to get off.","Please stop the train. I want to get off.","Please stop the train. I want to get off.","Please stop the train. I want to get off.","Please stop the train. I want to get off."
Pony_Unit_BackgroundPony_Chatter_Idle_5_Key,Text,,,,,"Please don't hurt me.","Please don't hurt me.","Please don't hurt me.","Please don't hurt me.","Please don't hurt me.","Please don't hurt me."
Pony_Unit_BackgroundPony_Chatter_Idle_6_Key,Text,,,,,"Don't blame me.","Don't blame me.","Don't blame me.","Don't blame me.","Don't blame me.","Don't blame me."
Pony_Unit_BackgroundPony_Chatter_Idle_7_Key,Text,,,,,"This was not my idea.","This was not my idea.","This was not my idea.","This was not my idea.","This was not my idea.","This was not my idea."
Pony_Unit_BackgroundPony_Chatter_Idle_8_Key,Text,,,,,"Can we go somewhere other than Hell?","Can we go somewhere other than Hell?","Can we go somewhere other than Hell?","Can we go somewhere other than Hell?","Can we go somewhere other than Hell?","Can we go somewhere other than Hell?"
Pony_Unit_StaticJoy_Name_Key,Text,,,,,Static Joy,Static Joy,Static Joy,Static Joy,Static Joy,Static Joy
Pony_Unit_StaticJoy_Description_Key,Text,,,,,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.,Apply <nobr><b>Armor {[effect0.status0.power]}</b></nobr> to all friendly units.
Pony_Unit_StaticJoy_Essence_Key,Text,,,,,"10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'","10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'","10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'","10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'","10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'","10 <b>Armor</b>, and '<b>Strike</b>: Apply <b>Armor 2</b> to all friendly units.'"
Pony_Unit_StaticJoy_Lore_Key,Text,,,,,"I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day.","I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day.","I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day.","I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day.","I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day.","I never expected a cute little pony to make my life a living nightmare, but here I am. Static Joy's got a devious streak that just won't quit and a seemingly endless supply of practical jokes. Where does one get jalapeno-flavored ear wax and why does such a thing even exist? Even so, her pranks are mostly harmless and I'd prefer her company over the over-righteous, pompous, self-important, ego-bloated winged any day."
Pony_Unit_StaticJoy_Chatter_Added_1_Key,Text,,,,,"It's party time!","It's party time!","It's party time!","It's party time!","It's party time!","It's party time!"
Pony_Unit_StaticJoy_Chatter_Attacking_1_Key,Text,,,,,"Let's have fun!","Let's have fun!","Let's have fun!","Let's have fun!","Let's have fun!","Let's have fun!"
Pony_Unit_StaticJoy_Chatter_Slayed_1_Key,Text,,,,,"Well that backfired.","Well that backfired.","Well that backfired.","Well that backfired.","Well that backfired.","Well that backfired."
Pony_Unit_StaticJoy_Chatter_Trigger_OnAttacking_1_Key,Text,,,,,"Whee!","Whee!","Whee!","Whee!","Whee!","Whee!"
Pony_Unit_StaticJoy_Chatter_Idle_1_Key,Text,,,,,"The whoopee saddle is always a classic.","The whoopie saddle is always a classic.","The whoopee saddle is always a classic.","The whoopee saddle is always a classic.","The whoopee saddle is always a classic.","The whoopee saddle is always a classic."
Pony_Unit_StaticJoy_Chatter_Idle_2_Key,Text,,,,,"Silly string has 101 uses.","Silly string has 101 uses.","Silly string has 101 uses.","Silly string has 101 uses.","Silly string has 101 uses.","Silly string has 101 uses."
Pony_Unit_StaticJoy_Chatter_Idle_3_Key,Text,,,,,"Who says Hell can't be fun?","Who says Hell can't be fun?","Who says Hell can't be fun?","Who says Hell can't be fun?","Who says Hell can't be fun?","Who says Hell can't be fun?"
Pony_Unit_StaticJoy_Chatter_Idle_4_Key,Text,,,,,"Squeaky Boo-Boo's so clumsy she could trip on a punchline.","Squeaky Boo-Boo's so clumsy she could trip on a punchline.","Squeaky Boo-Boo's so clumsy she could trip on a punchline.","Squeaky Boo-Boo's so clumsy she could trip on a punchline.","Squeaky Boo-Boo's so clumsy she could trip on a punchline.","Squeaky Boo-Boo's so clumsy she could trip on a punchline."
Pony_Unit_StaticJoy_Chatter_Idle_5_Key,Text,,,,,"My itching powder won't kick in until after the horseshoes have been nailed on.","My itching powder won't kick in until after the horseshoes have been nailed on.","My itching powder won't kick in until after the horseshoes have been nailed on.","My itching powder won't kick in until after the horseshoes have been nailed on.","My itching powder won't kick in until after the horseshoes have been nailed on.","My itching powder won't kick in until after the horseshoes have been nailed on."
Pony_Unit_StaticJoy_Chatter_Idle_6_Key,Text,,,,,"Have you ever put whipped cream in a water balloon?","Have you ever put whipped cream in a water balloon?","Have you ever put whipped cream in a water balloon?","Have you ever put whipped cream in a water balloon?","Have you ever put whipped cream in a water balloon?","Have you ever put whipped cream in a water balloon?"
Pony_Unit_StaticJoy_Chatter_Idle_7_Key,Text,,,,,"Seeing Hell gives me so many ideas for practical jokes.","Seeing Hell gives me so many ideas for practical jokes.","Seeing Hell gives me so many ideas for practical jokes.","Seeing Hell gives me so many ideas for practical jokes.","Seeing Hell gives me so many ideas for practical jokes.","Seeing Hell gives me so many ideas for practical jokes."
Pony_Unit_StaticJoy_Chatter_Idle_8_Key,Text,,,,,"I love my friends. They make so many good faces.","I love my friends. They make so many good faces.","I love my friends. They make so many good faces.","I love my friends. They make so many good faces.","I love my friends. They make so many good faces.","I love my friends. They make so many good faces."
Pony_Unit_PreenySnuggle_Name_Key,Text,,,,,Preeny Snuggles,Preeny Snuggles,Preeny Snuggles,Preeny Snuggles,Preeny Snuggles,Preeny Snuggles
Pony_Unit_PreenySnuggle_Description_Key,Text,,,,,"When played, add +8[attack] and [health] per [x].","When played, add +8[attack] and [health] per [x].","When played, add +8[attack] and [health] per [x].","When played, add +8[attack] and [health] per [x].","When played, add +8[attack] and [health] per [x].","When played, add +8[attack] and [health] per [x]."
Pony_Unit_PreenySnuggle_Essence_Key,Text,,,,,"+16[attack], +16[health], +1[ember], and <b>Social</b>.","+16[attack], +16[health], +1[ember], and <b>Social</b>.","+16[attack], +16[health], +1[ember], and <b>Social</b>.","+16[attack], +16[health], +1[ember], and <b>Social</b>.","+16[attack], +16[health], +1[ember], and <b>Social</b>.","+16[attack], +16[health], +1[ember], and <b>Social</b>."
Pony_Unit_PreenySnuggle_Lore_Key,Text,,,,,"Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart.","Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart.","Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart.","Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart.","Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart.","Preeny is the most energetic and flirty pony I've met, but she's also the most fragile. Everything she does is defined by a gnawing hunger for attention and affirmation, but if she ever receives serious criticism, she'll crumple into a sobbing heap like her whole world has fallen apart."
Pony_Unit_PreenySnuggle_Chatter_Added_1_Key,Text,,,,,"I'll do my best!","I'll do my best!","I'll do my best!","I'll do my best!","I'll do my best!","I'll do my best!"
Pony_Unit_PreenySnuggle_Chatter_Attacking_1_Key,Text,,,,,"I'm not just eye candy!","I'm not just eye candy!","I'm not just eye candy!","I'm not just eye candy!","I'm not just eye candy!","I'm not just eye candy!"
Pony_Unit_PreenySnuggle_Chatter_Slayed_1_Key,Text,,,,,"No!","No!","No!","No!","No!","No!"
Pony_Unit_PreenySnuggle_Chatter_Idle_1_Key,Text,,,,,"Care to snuggle up when this is over?","Care to snuggle up when this is over?","Care to snuggle up when this is over?","Care to snuggle up when this is over?","Care to snuggle up when this is over?","Care to snuggle up when this is over?"
Pony_Unit_PreenySnuggle_Chatter_Idle_2_Key,Text,,,,,"I think Hornbreaker Prince is pretty hot.","I think Hornbreaker Prince is pretty hot.","I think Hornbreaker Prince is pretty hot.","I think Hornbreaker Prince is pretty hot.","I think Hornbreaker Prince is pretty hot.","I think Hornbreaker Prince is pretty hot."
Pony_Unit_PreenySnuggle_Chatter_Idle_3_Key,Text,,,,,"When I was a filly, I never thought I'd grow up to go to Hell.","When I was a filly, I never thought I'd grow up to go to Hell.","When I was a filly, I never thought I'd grow up to go to Hell.","When I was a filly, I never thought I'd grow up to go to Hell.","When I was a filly, I never thought I'd grow up to go to Hell.","When I was a filly, I never thought I'd grow up to go to Hell."
Pony_Unit_PreenySnuggle_Chatter_Idle_4_Key,Text,,,,,"Mare a Lee's done it again.","Mare a Lee's done it again.","Mare a Lee's done it again.","Mare a Lee's done it again.","Mare a Lee's done it again.","Mare a Lee's done it again."
Pony_Unit_PreenySnuggle_Chatter_Idle_5_Key,Text,,,,,"Wildwood sap has a nice sheen but it's way too sticky.","Wildwood sap has a nice sheen but it's way too sticky.","Wildwood sap has a nice sheen but it's way too sticky.","Wildwood sap has a nice sheen but it's way too sticky.","Wildwood sap has a nice sheen but it's way too sticky.","Wildwood sap has a nice sheen but it's way too sticky."
Pony_Unit_PreenySnuggle_Chatter_Idle_6_Key,Text,,,,,"If lust were the only sin, there'd be no war.","If lust were the only sin, there'd be no war.","If lust were the only sin, there'd be no war.","If lust were the only sin, there'd be no war.","If lust were the only sin, there'd be no war.","If lust were the only sin, there'd be no war."
Pony_Unit_PreenySnuggle_Chatter_Idle_7_Key,Text,,,,,"The covenant was a good deal for both Heaven and Hell.","The covenant was a good deal for both Heaven and Hell.","The covenant was a good deal for both Heaven and Hell.","The covenant was a good deal for both Heaven and Hell.","The covenant was a good deal for both Heaven and Hell.","The covenant was a good deal for both Heaven and Hell."
Pony_Unit_PreenySnuggle_Chatter_Idle_8_Key,Text,,,,,"The Boneshaker rattles less than a night with me.","The Boneshaker rattles less than a night with me.","The Boneshaker rattles less than a night with me.","The Boneshaker rattles less than a night with me.","The Boneshaker rattles less than a night with me.","The Boneshaker rattles less than a night with me."
Pony_Unit_Snackasmacky_Name_Key,Text,,,,,Snackasmacky,Snackasmacky,Snackasmacky,Snackasmacky,Snackasmacky,Snackasmacky
Pony_Unit_Snackasmacky_Description_Key,Text,,,,,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.,Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.
Pony_Unit_Snackasmacky_Essence_Key,Text,,,,,+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.',+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.',+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.',+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.',+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.',+10[health] and '<b>Rejuvenate</b>: Apply <nobr>+1[attack] and [health]</nobr> to all friendly units.'
Pony_Unit_Snackasmacky_Lore_Key,Text,,,,,"I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her.","I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her.","I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her.","I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her.","I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her.","I swear, this pony wants to turn me into a blimp. She always makes too much food, and gets really mad whenever any of it goes to waste. I checked, and the bushes around her house are stuffed with discarded pastries from guests who couldn't eat it all and didn't want to displease her."
Pony_Unit_Snackasmacky_Chatter_Added_1_Key,Text,,,,,"Howdy y'all.","Howdy y'all.","Howdy y'all.","Howdy y'all.","Howdy y'all.","Howdy y'all."
Pony_Unit_Snackasmacky_Chatter_Attacking_1_Key,Text,,,,,"Yee Haw!","Yee Haw!","Yee Haw!","Yee Haw!","Yee Haw!","Yee Haw!"
